uniqueID	drugName	review	date
97013	Ambien	"Ditto on rebound sleepless when discontinued. I have done very strange things with no memory including taking additional Ambien. It has helped me sleep when under extreme stress but watch out. Now I am trying to learn how to sleep naturally."	13-Jan-15
141462	Escitalopram	"I am a 22 year old female college student. I wanted to write this because when I was at my lowest of low when I felt absolutely hopeless... these positive reviews are what got me through the day. I experienced a lot of change.  I was also in a relationship that made me unhappy. I stopped doing the things I liked to do such as run, party, work, hang out with friends etc. In result, I never had energy. I constantly felt guilty. I cried everyday, sometimes multiple times of day. I went to group therapy. I dropped 10lbs in two weeks. I eventually got on this medicine &amp; the first 4 days felt crazy &amp; tired! TAKE AT NIGHT. Give this medicine time! Now 3 weeks in I am back to myself and am truly happy! Keep your head up."	29-Apr-14
95748	Sertraline	"I had major depression from the time I started menstruating.  It would cycle with my cycle.  It caused paranoia, and fear of being seen outside my home.  It feared going to my mail box, yet, at times I would sign up to do things like be an Avon Lady! I felt crazy. In my mid 30&#039;s, divorced, alcoholic, my doctor prescribed Prozac.  It didn&#039;t seem to help me.  Later in recovery but still profoundly depressed, she put me on Zoloft and the result was instantaneous.  I felt like a window to my life had been opened.  I wasn&#039;t afraid.  I looked forward to getting out of bed.  I found things I liked to do. I have a healthy relationship, a good job, a life.  I have been given my life back.  Now, I am 16 years sober.  Thank you Zoloft."	2-Nov-14
128575	Phentermine	"Started out yesterday at 242 and this morning I was only 239.6 not hungry at all"	7-Jun-15
138742	Phentermine	"I absolutely LOVE this medicine. I lost 30 pounds on it last year and have lost 7 lbs on it in the last month (no exercise). It makes me feel good and gives me the energy to get things done. My libido had been down due to being on anti-depressants BUT this medicine has affected my libido in a GOOD way. It also helps tremendously because I have ADHD. It helps so much with that too. I love this medicine.  HOWEVER don&#039;t drink a lot when you take it. When I first started it last April I drank WAY too much and ended up in the hospital. The doctor was amazed that they hadn&#039;t told me not to drink on it but all is well now."	18-May-11
140925	Escitalopram	"Very good for GAD mixed with depression. I felt worse for 2 months but then felt amazing :) give it a chance"	21-Dec-15
72043	Tramadol	"This medication does not relieve eve the slightest pain."	2-Jun-15
214584	Escitalopram	"First off let me start off by saying that I am only here because before I started this medication I lived and died by the reviews on here. As a matter of fact had it not been for the reviews I probably never would have taken the chance and been A LOT worse off. If your reading this you&rsquo;re probably at the point where you know you should take this medicine but anxiety is telling you it will harm or kill you. Don&rsquo;t listen to it. It&rsquo;s LYING. This medicine took me from being agoraphobic to attending rock concerts. It doesn&rsquo;t work overnight and the side effects DID suck but they were worth every single one. I have my life back and my only regret is that I waited so long to try. I started in May and by October I was basically a brand new person."	25-Nov-17
64109	Sertraline	"I&#039;ve had depression on and off for years but more recently have felt worse. Having tried various antidepressants my Dr prescribed 50mg of sertraline. I started it a few days ago and have noticed that I have no appetite. I sleep for only a few hours a night. But it&#039;s early days.."	28-Apr-17
72195	Tramadol	"I take it for gastrointestinal pain and it works fairly well. My pain often gets to the point of me wanting to punch everything in sight, and tramadol helps to quiet it. The only downsides are that it takes a little longer to start working than I need it to, since this unbearable pain can arise in a few minutes. Additionally, it causes constipation even in low doses, which can contribute to further gastrointestinal pain."	31-May-14
96970	Ambien	"I have been prescribed Ambien for 3 years now, I used to take Xanax along with it so I never truly got to experience the hypnotic effects of Ambien on its own. Now I take it by itself and its a powerful medication. It can cause my appetite to get out of control, also  I had a major problem when I drank alcohol with it . My parents came home to find me, putting all my clothes in a suitcase I found somewhere in the house, a loaf of sliced bread spread all over the house and the yard, and me yelling at them for making my friends leave the game early, what the hell I was doing or talking about I still have no idea. So yes, don&#039;t drink and take Ambien in the course of a night because it leads to some bizarre activities. But all in all as a sleep aid it&#039;s great."	14-Nov-15
72178	Tramadol	"Just recently prescribed Tramadol 50 mg and it has been the miracle medicine for my osteoarthritis pain.  The very first dose &amp; I was able to move without any issues.  I am only 42 yrs old and fear being crippled due to this nasty disease.  I am hoping this medicine will continue to work for me.  Hydrocodone 5-325 just wasn&#039;t cutting it for me anymore, needed something stronger as the pain was getting truly unbearable.  I would recommend others to try it.  I&#039;ve read a lot of reviews and have seen mixed reviews but for the most part others are happy with the results like myself."	1-Aug-14
