statecode	adj_ccid	adj_vanid	datecanvassed	canvasser_id	contact_type	contact_result	presidential_id
FL	818645788	926265883	2016-09-01 14:34:00	1179950	Phone	Canvassed	1 Strong Clinton
FL	818646910	905445956	2016-09-01 16:54:00	1192246	Phone	Canvassed	1 Strong Clinton
FL	818647767	918781581	2016-09-01 19:03:00	1192032	Phone	Canvassed	1 Strong Clinton
FL	818648634	918530305	2016-09-01 00:00:00		Walk	Canvassed	1 Strong Clinton
FL	818648901	901273700	2016-09-01 00:00:00	1203480	Walk	Canvassed	2 Lean Clinton
FL	818648916	904376137	2016-09-01 00:00:00	1191003	Walk	Canvassed	1 Strong Clinton
FL	818649178	905018866	2016-09-01 00:00:00	1204630	Walk	Canvassed	4 Lean Trump
FL	818648933	905042642	2016-09-01 00:00:00	1205773	Walk	Canvassed	2 Lean Clinton
FL	818649180	905706805	2016-09-01 00:00:00	1206295	Walk	Canvassed	3 Undecided
FL	818648951	907126409	2016-09-01 00:00:00	1206295	Walk	Canvassed	2 Lean Clinton
FL	818648959	907295295	2016-09-01 00:00:00	1171423	Walk	Canvassed	1 Strong Clinton
FL	818648968	907633053	2016-09-01 00:00:00	1190538	Walk	Canvassed	1 Strong Clinton
FL	818649197	907789038	2016-09-01 00:00:00	1204977	Walk	Canvassed	3 Undecided
FL	818649199	907840959	2016-09-01 00:00:00	1204975	Walk	Canvassed	3 Undecided
FL	818648989	908166902	2016-09-01 00:00:00	1204982	Walk	Canvassed	1 Strong Clinton
FL	818649213	908265949	2016-09-01 00:00:00	1204975	Walk	Canvassed	3 Undecided
FL	818649001	911278521	2016-09-01 00:00:00	1203480	Walk	Canvassed	2 Lean Clinton
FL	818649018	913202210	2016-09-01 00:00:00	1203479	Walk	Canvassed	2 Lean Clinton
FL	818649029	916844012	2016-09-01 00:00:00	1206295	Walk	Canvassed	1 Strong Clinton
FL	818649033	918167327	2016-09-01 00:00:00	1203480	Walk	Canvassed	1 Strong Clinton
FL	818649046	918776934	2016-09-01 00:00:00	1192246	Walk	Canvassed	1 Strong Clinton
FL	818647347	920703360	2016-09-01 00:00:00	1206298	Walk	Canvassed	3 Undecided
FL	818647722	920763240	2016-09-01 00:00:00	1171420	Walk	Canvassed	1 Strong Clinton
FL	818649071	921170475	2016-09-01 00:00:00	1190997	Walk	Canvassed	1 Strong Clinton
FL	818649082	922914476	2016-09-01 00:00:00	1204982	Walk	Canvassed	1 Strong Clinton
FL	818649086	923139740	2016-09-01 00:00:00	1201852	Walk	Canvassed	1 Strong Clinton
FL	818649098	924177117	2016-09-01 00:00:00	1202523	Walk	Canvassed	1 Strong Clinton
FL	818649118	926816190	2016-09-01 00:00:00	1201862	Walk	Canvassed	1 Strong Clinton
FL	818649264	926923503	2016-09-01 00:00:00	1204975	Walk	Canvassed	3 Undecided
FL	818649123	926939512	2016-09-01 00:00:00	1201852	Walk	Canvassed	1 Strong Clinton
FL	818649127	927057230	2016-09-01 00:00:00	1191003	Walk	Canvassed	2 Lean Clinton
FL	818649153	928023644	2016-09-01 00:00:00	1204982	Walk	Canvassed	1 Strong Clinton
FL	818651417	900821706	2016-09-01 00:00:00	1201853	Walk	Canvassed	1 Strong Clinton
FL	818651424	900996393	2016-09-01 00:00:00	1201856	Walk	Canvassed	1 Strong Clinton
FL	818648776	904597937	2016-09-01 00:00:00	1191002	Walk	Canvassed	3 Undecided
FL	818651710	904638173	2016-09-01 00:00:00	1191005	Walk	Canvassed	3 Undecided
FL	818651460	904802614	2016-09-01 00:00:00	1188956	Walk	Canvassed	1 Strong Clinton
FL	818651711	904948647	2016-09-01 00:00:00	1179943	Walk	Canvassed	2 Lean Clinton
